「ねぇねぇ。なにブツブツ言ってるのー？」	？？？「呐呐。你在嘀咕什么呢？」
「爆発……だと！？」	伦太郎「难道是⋯⋯爆炸！？」
	
カッコつけて驚いてみたけど、え、ウソ、マジで爆発？	虽然惊讶当中也不忘耍帅，但是，诶，骗人吧，还真是爆炸？
	
まずい、胸が高鳴ってきた。	不好，心率开始提高了。
	
ドキドキする。	心脏激烈地跳动起来。
	
ええと、ど、どうするべきだろう。	呃，应、应该怎么办。
	
逃げた方がいい？	逃跑比较好？
	
というかなんで爆発？ テロ？	说起来为什么是爆炸？ 恐怖袭击？
	
いや、そんなものではないような気がする。	不对，感觉应该不是那样的。
	
なぜなら、俺の目の前––屋上のガランとしたスペースのど真ん中に、奇妙な物体が鎮座していたからだ。	要说为什么的话，那是因为在我的眼前––也就是屋顶空旷的空间的正中，停放了一个奇怪的物体。
	
「なんだ……これは？」	伦太郎「这是⋯⋯什么？」
	
そこには謎の機器が鎮座していた。	在那镇座着的是一台奇怪的机器。
	
かなり大きい。高さは３メートル以上あるのではないだろうか。	体积相当庞大，高度估计应该超过３米以上。
	
これは……人工衛星？	这是⋯⋯人工卫星？
	
煙や燐光、それにさっきの揺れの原因は、これなのか？	那些烟雾和磷光，还有刚才的震动都是这个引发的？
	
こんな物、誰がここに置いたんだろう？	究竟是谁把这样的东西放在这里的？
	
それとも、中鉢が用意したものだとでもいうのか？ 今日の会見と関係があったりする？	难道说这是中钵准备的东西？莫非和今天的会面有关系？
	
だが、もし仮にそうだとして、いったいここまでどうやって持ってきたんだ？	可是即使是这样，那么究竟是怎么搬运到这里来的？
	
ここは８階建てビルの屋上だぞ？	这里可是８层大楼的楼顶啊。
	
頭の中は疑問だらけだった。	大脑都被疑问所占据了。
	
そしてその自問には、当然ながら答えは出ない。	而对于这些自问，我当然得不出答案。
	
謎の機器に近付くべきかどうか躊躇していると、俺に続くようにして、何人かが––おそらくラジ館の関係者か、記者会見の係員か––階段を上がってきた。	正当我还在犹豫要不要靠近这个未知的机器的时候，估计是广播馆或是记者见面会的工作人员们赶在我后面从楼梯冲了上来。
	
そして誰もが、俺と同じように困惑した顔をする。	而且不管是谁都跟我一样满脸充满了困惑。
	
「近寄らないでくださーい！」	女人「麻烦请不要靠近！」
	
と、係員のうちの１人と思われる女が両手を大きく振りながら、俺たちの前へと歩み出てきた。	像是工作人员之一的女性这样说着，大幅度的挥动着双臂，走到了我们的面前。
	
「記者会見は予定通り始めますので、もうしばらくお待ちくださーい！」	女人「因为记者见面会将会按原计划开始，所以请再等待一下！」
	
なにかを隠そうとしている？	像是要隐瞒什么事情？
	
対応がやけに素早い。俺を人工衛星らしき物体から遠ざけたいらしい。	应对似乎格外迅速。仿佛是想让我远离那个疑似人工卫星的物体。
	
「これは匂う。陰謀の匂いだ。なにを隠したいんだ？ さっきの爆発はなんだ？」	伦太郎「可疑啊。一股阴谋的味道。到底想隐藏什么？ 刚才的爆炸是怎么回事？」
	
ブツブツと声に出して考えを巡らせてみる。	我嘀咕着思考起来。
	
気になる……。	真让人在意⋯⋯
	
気になるが、これ以上近付く危険は避けた方がいい。	虽然在意，但是为了避免危险还是别靠近比较好。
	
決してビビったわけではないぞ。	这可绝不是害怕了哦。
	
係員に誘導されるままに８階に戻る。	在工作人员的引导下回到了８层。
	
まゆりの姿がなかった。イベント会場にもいない。	真由理已经不在那儿了。也不在活动会场里。
	
探してみると、７階の踊り場にいた。	稍微找了一下，在７楼的楼梯间转角处找到了她。
	
日本におけるＰＣ発祥の地を示すプレートがあるその横に、カプセルトイがずらっと並んでいる。	在指示着日本ＰＣ发祥地的广告牌旁，摆放一排扭蛋机。
	
それを物欲しそうな顔で眺めていた。	真由理垂涎欲滴似的盯着那边看。
	
ひとまずホッと一安心してから、俺はケータイを取り出した。	我这才算是放心下来，掏出了手机。
	
「俺だ。どうもイヤな予感がする。俺たちが知らないところでなにかが起こっているようだ」	伦太郎「是我。总觉得有不好的预感。似乎是在我们不知道的地方发生了什么一样」
	
「……ああ、分かってる。無茶はしないさ。俺も命は惜しいからな。エル・プサイ・コングルゥ」	伦太郎「⋯⋯嗯、我知道。我不会乱来的。毕竟我也不想死。Ｅｌ　Ｐｓｙ　Ｋｏｎｇｒｏｏ」
	
改めて別れの合い言葉で締めた後、額に滲んだ汗を手の甲で拭った。	再次用暗号结束会话后，我用手背擦了下额头上的汗水。
	
やっべ。かなり冷や汗かいてる。	真糟糕。出了好多冷汗。
	
本当になにか起こったらどうしよう。	真要是出事了该怎么办。
	
期待半分、不安半分というところだ。	所谓的一半期待，而另一半则是不安也就是指这样的情况吧。
	
ケータイをしまい、改めてまゆりを見る。	我收起手机，再次望向真由理。
	
こいつはなにをしているんだ？	这家伙都在干什么啊？
	
もしかしてカプセルトイに夢中なのか？	莫非是对着扭蛋机出神了？
	
爆発騒ぎにもまったく動じていないとは。	明明都出了爆炸骚动还能无动于衷。
	
とんでもない大物か、とんでもないバカかのどちらかだな。	这种人要么就是大人物，或者要么就是极度的笨蛋吧。
	
「まゆり、なにをしている？」	伦太郎「真由理，你在做什么？」
	
「んー？」	真由理「嗯？」
	
「あのね、『うーぱ』がほしいなあって」	真由理「那个啊，我想要『乌帕』呢」
	
予想通りか……。	不出所料⋯⋯
	
まゆりが指差したカプセルトイのマシンには、『雷ネット翔 立体キャラクタードールシリーズ』というチープなディスプレイが施されていた。	真由理所指的扭蛋机上，一个简易的液晶屏显示着『雷ＮＥＴ翔立体角色人偶系列』的字样。
	
今や子供から大人まで知らない者はいないアニメ『雷ネット翔』。	那是现今不论大人小孩儿都人皆共知的动画『雷Ｎｅｔ翔』。
	
スピンアウトしたカードゲーム『雷ネット・アクセスバトラーズ』は海外にまで人気が飛び火し、世界規模の大会が開かれるほどだ。	由它衍伸出的卡牌游戏『雷Ｎｅｔ联线战士』人气甚至蔓延至海外，都到了有举行世界级别比赛的程度。
	
ちなみにまゆりが言う『うーぱ』とは、その『雷ネット翔』の中で最も人気がある、マスコット的キャラクターである。	顺带一提，真由理所说的『乌帕』就是这部『雷Ｎｅｔ翔』中最受欢迎的吉祥物角色。
	
見た目としては、卵のような楕円形でそこに手足が生えた犬っぽい生き物、と言えばいいだろうか。	它的外观，可以说像是个在鸡蛋形状的椭圆身子上长出了腿脚的狗一样的生物吧。
	
いわゆる、ゆるキャラというものに分類されると思われる。	大概是可以被分到“蠢萌吉祥物角色”的类型中去。
	
女子高生に人気が出てもおかしくない。そう言えば去年も、キモいカエルのキャラクターが流行っていたな。名前は忘れたが。	所以即便在女高中生中受欢迎也不奇怪。这么说起来去年也流行过恶心的青蛙角色。虽然记不起名字是什么了。
	
「やればいい。『うーぱ』が当たるかどうかは保証できないがな」	伦太郎「想要就去抽啊。但是不保证能抽中『乌帕』哦」
	
だがまゆりは困ったような笑みを浮かべたままだ。	但真由理依旧带着为难的微笑着。
	
「でもね、まゆしぃは今、１００円玉を切らしちゃっているのです」	真由理「可是，真由氏〜现在没有１００日元的硬币了呢」
	
まゆりは自分のことを“まゆしぃ”と呼ぶ。	真由理将自己称呼为“真由氏〜”。
	
もっと厳密に言うなら“まゆしぃ”の後には☆が付くらしい。	不过严格来说好像得在“真由氏〜”的后面加上一个☆。
	
すなわち“まゆしぃ☆”。	也就是“真由氏〜☆”。
	
まさにどうでもいいことだが。	这简直是无聊琐事的典型。
	
「だから、オカリンオカリン、１００円貸してー？」	真由理「所以冈伦冈伦，借一百日元给我吧？」
	
ねだるように、俺に向けて手の平を見せてくる。	像是央求索要一般向着我把手张开。
	
どうやら最初からそれを期待していたらしい。	看来她一开始就在期待我。
	
“ちょうだい”と言ってこないだけまだマシだが。	虽然比直接说“给我”要来得好。
	
「甘ったれるなまゆり。金は貸さん。俺がお前に人生の厳しさを教えてやる」	伦太郎「真由理你别想撒娇。钱我不借。我要让你知道人生的残酷」
	
俺は言い放つと、サイフから１００円玉を取り出してコイン挿入口にセットした。勢いよくレバーを回す。	我这么说道从钱包拿出一百日元硬币放入投币口。用力的扭动转杆。
	
「あ、ああー……」	真由理「啊，啊啊⋯⋯」
	
出てきたカプセルを割って中身を取り出した。	把滚出来的扭蛋打开，拿出里面的东西。
	
まゆりもなにが出たか気になるようで、俺の手元をのぞき込んでくる。	真由理似乎也在意究竟抽中了什么，往我手中盯过来。
	
「あっ、『うーぱ』だよ。しかもメタル。『メタルうーぱ』」	真由理「啊，『乌帕』耶。而且还是合金的。『合金乌帕』」
	
「それはレアなのか？」	伦太郎「这很稀有吗？」
	
「すごく！」	真由理「相当稀有！」
	
その『メタルうーぱ』をしげしげと眺めながら、カプセルトイの前から離れた。	我边看着『合金乌帕』，边从扭蛋机前离开了。
	
俺たちの後ろで見ていた小学生ぐらいの男の子が、続いて同じ『雷ネット翔』のカプセルトイに挑戦している。	站在身后看着我们的、小学生大小的男孩子也接在我们后面，向同一台『雷ネット翔』的扭蛋机发起了挑战。
	
「あー、普通の『うーぱ』だ……」	男生「啊啊，普通的『乌帕』啊⋯⋯」
	
俺の当てた『メタルうーぱ』を恨めしげに見つめてくる。	说完就带着怨恨地看着我所抽中『乌帕』。
	
俺の横ではまゆりが目を輝かせている。	而真由理则在我身旁两眼放光地看着。
	
おい女子高生。小学生男児と同レベルだぞ……。	喂女高中生。你这都跟小学男生一个水平了啊⋯⋯
	
「フン、ではまゆりにくれてやろう」	伦太郎「哼，那么就给真由理你吧」
	
はっきり言って全然興味がなかった。	老实说我一点兴趣都没。
	
まゆりの手に『メタルうーぱ』を握らせてやる。	我把『合金乌帕』交到真由理的手上。
	
「ホントー？ いいの？ オカリン」	真由理「真的〜？ 可以吗？ 冈伦」
	
「鳳凰院凶真だ」	伦太郎「我是凤凰院凶真」
	
「えっへへー、ありがとーオカリン♪」	真由理「诶嘿嘿〜，冈伦谢谢了♪」
	
「…………」	伦太郎「⋯⋯⋯⋯」
	
もしかしてわざとそこだけ無視してないか？	莫非是故意只无视那一部分？
	
「––本日は、ドクター中鉢によるタイムマシン発明成功記念会見にお集まりいただき、まことにありがとうございます」	主持人「––今天，由衷感谢各位能够参加本次中钵博士的时间机器发明成功纪念见面会」
	
上の階から、かすかにそんなマイクの声が聞こえてきた。	从楼上隐约传来了麦克风说话的声音。
	
「どうやら始まるようだな」	伦太郎「看起来像是要开始了」
	
８階へと向かう。	要往８楼去了。
	
だがまゆりがついてこない。	可是真由理却没有跟上来。
	
「行くぞまゆり」	伦太郎「走了，真由理」
	
「んー、待って待って。名前書かなくちゃ」	真由理「嗯〜，等等等等。等我写上名字」
	
どうやら『メタルうーぱ』に夢中らしい。	看来她还在对『乌帕』着迷。
	
「それでは、早速登場していただきましょう。発明家、ドクター中鉢さんです！ 皆さん、盛大な拍手でお迎えください！」	主持人「那么我们这就有请发明家、中钵博士登场！ 大家请热烈鼓掌欢迎！」
	
まばら––どころかほんの数人だけの拍手に迎えられて、中鉢が現れた。	零星的––应该说在仅有数人的掌声中，中钵出现了，
	
会見場の奥に設置された壇に向かう。	接着走向会场里端的讲坛上。
	
早くもかなりの仏頂面だ。不機嫌さが全身から溢れ出している。	才刚刚开始就死板着脸。全身上下都散发着不爽的情绪。
	
「ドクター中鉢だ。どうぞよろしく」	中钵「我是中钵博士。请多指教」
	
「それでは、ここに集まってもらった諸君だけに、人類史に残る世紀の大発明、タイムマシンについての理論をお教えしよう」	中钵「那么，我就向聚集到这里的诸位讲解一下这个能载入人类史册的世纪大发明––时间机器相关的理论吧」
	
「タイムマシン？ あの人が作ったのー？」	真由理「时间机器？ 那是那个人做的？」
	
『メタルうーぱ』に名前を書き終わったらしいまゆりがやって来て、今さらながらなことを言っている。	在『合金乌帕』上写好名字的真由理来到后，说出了这句“理所当然”的台词。
	
中鉢は、マイクを片手に、自信満々という態度をみなぎらせて話し始めた。	中钵用单手拿着麦克风，自信满满地开始了他的讲解。
	
聴衆は俺を入れてせいぜい２０人ほどだ。さっきより少しだけ増えた。	听众算上我顶多也就是２０人左右。比刚才还是稍微增加了点。
	
だがやはり、記者やカメラマンらしき人物は見当たらない。	不过果然还是没有看起来像摄影师或是记者的人。
	
これが世間のドクター中鉢への注目度かと理解した。	从这就能看出世间对中钵博士的关注程度了。
	
色モノ発明家が“タイムマシンを発明した”と発表したところで、世間は“なにを言ってるんだか”という失笑で返すだけ。	这种不入流的搞笑发明家即便说自己“发明了时间机器”，一般人对此只会边嘲笑边反问“你在开什么玩笑呢”。
	
俺も、この男が語ることに興味はあったが、それほど期待していたわけではない。	虽然我也对这个男人讲的东西有点兴趣，可也没有太多期待。
	
そしてそれは、ドクター中鉢がいざタイムマシンの理論について語り出したときに失望となり、時間が経つにつれて怒りへと変わった。	而这仅存的兴趣和期待也在中钵博士正式讲解时间机器的理论时变成失望，尔后随着时间的流逝转而成为愤怒。
	
「ドぉぉぉクぅぅぅターぁぁぁっ！」	伦太郎「博哦哦哦哦哦哦哦哦士！！！」
	
記者会見中にもかかわらず、俺は叫んでしまっていた。	不顾这时还在记者见面会途中，我高喊了起来。
	
「バカにするにもほどがあるぞ！」	伦太郎「你愚弄人也得有个限度！」
	
「なんだね君は！？」	中钵「你是什么人！？」
	
「俺が誰なのかはどうでもいい！ それより、今貴方が語ったタイムマシンの理論はいったいなんだ！？」	伦太郎「我是谁不重要！ 重要的是，你刚刚说明的时间机器理论算是什么！？」
	
「ジョン・タイターのパクリではないか！ 貴方はそれでも発明家かっ！」	伦太郎「那不就是抄袭约翰・提托的吗！ 你这也算是发明家？」
	
「だ、誰か、その男をつまみ出せ」	中钵「来、来人啊，把那那个男人给我撵出去」
	
「出ていくのは貴方だ、ドクター！ 恥を知れ！ 金輪際、貴方には発明家を名乗る資格はないぞっ！」	伦太郎「要出去的是你才对，博士！ 恬不知耻！ 从现在开始，你已经没有资格自称为发明家了！」
	
「うるさい、黙れっ！ 生意気な若造めっ！」	中钵「吵什么，闭嘴！ 你这狂妄的臭小子！」
	
と、背後から俺の手を何者かがつかんだ。	这时，不知道谁从背后抓住了我的手腕。
	
てっきり俺をつまみ出そうとする係員かと思い、にらみつける勢いで振り返る。	我还以为肯定是要将我扭出去的工作人员就凶恶的向后瞪了回去。
	
「は、な、せっ……んん？」	伦太郎「放、放开⋯⋯我⋯⋯唔？」
	
「…………」	？？？「⋯⋯⋯⋯」
	
俺と同い年ぐらいの女だった。	是位估计跟我同年的女性。
	
挑みかかってくるかのような、きつい眼差し。	她的眼神像是在挑衅一般，十分尖锐。
	
真正面から物怖じせずに向けてくるその視線に、俺はたじろぐ。	在这种无所畏惧视线面前，我在气势上被压倒了。
	
この顔には見覚えがあった。前に、どこかで……？	我对这张脸有印象。之前在哪⋯⋯？
	
「あ……」	伦太郎「啊⋯⋯」
	
牧瀬紅莉栖だ。	是牧瀨红莉栖。
	
会ったことはないが顔は知っている。	虽然没见过面但是却知道长相。
	
数日前、俺の友人であるダル––橋田　至が雑誌を見せてくれた。	几天前，我的朋友桶子––桥田至让我看的杂志上，
	
その中の記事に“天才少女が秋葉原で講演”という内容があった。	其中有篇报道是“天才少女于秋叶原演讲”这样的内容。
	
